Instrument,Last,Mean,Stdev,Z-Score
1M5Y,4.224,3.8336,0.2786,1.4013
3M5Y,4.145,3.7572,0.2827,1.3716
6M5Y,4.022,3.6411,0.2815,1.3529
1Y5Y,3.795,3.4551,0.2525,1.3464
2Y5Y,3.569,3.333,0.1854,1.2734
3Y5Y,3.49,3.3349,0.1519,1.0214
4Y5Y,3.479,3.372,0.1343,0.7963
5Y5Y,3.504,3.4219,0.1261,0.651
7Y5Y,3.566,3.5278,0.1023,0.3737
10Y5Y,3.623,3.6204,0.0854,0.0308
15Y5Y,3.753,3.4664,0.1769,1.6199
20Y5Y,2.823,2.8642,0.1137,-0.3619
30Y5Y,2.314,2.1887,0.1036,1.2093
3M5Y-1M5Y,-7.9,-7.637,0.8239,-0.3192
6M5Y-1M5Y,-20.2,-19.246,1.3181,-0.7237
1Y5Y-1M5Y,-42.9,-37.852,3.9203,-1.2877
2Y5Y-1M5Y,-65.5,-50.063,11.0791,-1.3933
3Y5Y-1M5Y,-73.4,-49.873,15.5883,-1.5093
4Y5Y-1M5Y,-74.5,-46.157,18.819,-1.5061
5Y5Y-1M5Y,-72.0,-41.166,20.7156,-1.4884
7Y5Y-1M5Y,-65.8,-30.583,23.991,-1.4679
10Y5Y-1M5Y,-60.1,-21.322,26.3173,-1.4735
15Y5Y-1M5Y,-47.1,-36.715,25.1406,-0.4131
20Y5Y-1M5Y,-140.1,-96.943,30.666,-1.4073
30Y5Y-1M5Y,-191.0,-164.485,20.0016,-1.3256
6M5Y-3M5Y,-12.3,-11.609,0.798,-0.8659
1Y5Y-3M5Y,-35.0,-30.215,4.0695,-1.1758
2Y5Y-3M5Y,-57.6,-42.426,11.438,-1.3266
3Y5Y-3M5Y,-65.5,-42.236,15.9626,-1.4574
4Y5Y-3M5Y,-66.6,-38.52,19.2077,-1.4619
5Y5Y-3M5Y,-64.1,-33.529,21.1129,-1.448
7Y5Y-3M5Y,-57.9,-22.946,24.4074,-1.4321
10Y5Y-3M5Y,-52.2,-13.685,26.7263,-1.4411
15Y5Y-3M5Y,-39.2,-29.078,25.739,-0.3933
20Y5Y-3M5Y,-132.2,-89.306,31.0944,-1.3795
30Y5Y-3M5Y,-183.1,-156.848,20.4558,-1.2833
1Y5Y-6M5Y,-22.7,-18.606,3.5629,-1.1491
2Y5Y-6M5Y,-45.3,-30.817,11.093,-1.3056
3Y5Y-6M5Y,-53.2,-30.627,15.6554,-1.4419
4Y5Y-6M5Y,-54.3,-26.911,18.934,-1.4466
5Y5Y-6M5Y,-51.8,-21.92,20.8558,-1.4327
7Y5Y-6M5Y,-45.6,-11.337,24.188,-1.4165
10Y5Y-6M5Y,-39.9,-2.076,26.5338,-1.4255
15Y5Y-6M5Y,-26.9,-17.469,25.7638,-0.3661
20Y5Y-6M5Y,-119.9,-77.697,30.9472,-1.3637
30Y5Y-6M5Y,-170.8,-145.239,20.3143,-1.2583
2Y5Y-1Y5Y,-22.6,-12.211,7.7226,-1.3453
3Y5Y-1Y5Y,-30.5,-12.021,12.4377,-1.4857
4Y5Y-1Y5Y,-31.6,-8.305,15.8308,-1.4715
5Y5Y-1Y5Y,-29.1,-3.314,17.7985,-1.4488
7Y5Y-1Y5Y,-22.9,7.269,21.1427,-1.4269
10Y5Y-1Y5Y,-17.2,16.53,23.5236,-1.4339
15Y5Y-1Y5Y,-4.2,1.137,23.5666,-0.2265
20Y5Y-1Y5Y,-97.2,-59.091,28.1199,-1.3552
30Y5Y-1Y5Y,-148.1,-126.633,17.4215,-1.2322
3Y5Y-2Y5Y,-7.9,0.19,4.9266,-1.6421
4Y5Y-2Y5Y,-9.0,3.906,8.4503,-1.5273
5Y5Y-2Y5Y,-6.5,8.897,10.4752,-1.4699
7Y5Y-2Y5Y,-0.3,19.48,13.7812,-1.4353
10Y5Y-2Y5Y,5.4,28.741,16.2205,-1.439
15Y5Y-2Y5Y,18.4,13.348,18.1043,0.279
20Y5Y-2Y5Y,-74.6,-46.88,21.0167,-1.3189
30Y5Y-2Y5Y,-125.5,-114.422,10.4179,-1.0634
4Y5Y-3Y5Y,-1.1,3.716,3.5666,-1.3503
5Y5Y-3Y5Y,1.4,8.707,5.6355,-1.2966
7Y5Y-3Y5Y,7.6,19.29,9.0933,-1.2856
10Y5Y-3Y5Y,13.3,28.551,11.6856,-1.3051
15Y5Y-3Y5Y,26.3,13.158,15.2425,0.8622
20Y5Y-3Y5Y,-66.7,-47.07,16.4213,-1.1954
30Y5Y-3Y5Y,-117.6,-114.612,6.4446,-0.4636
5Y5Y-4Y5Y,2.5,4.991,2.1206,-1.1747
7Y5Y-4Y5Y,8.7,15.574,5.8064,-1.1839
10Y5Y-4Y5Y,14.4,24.835,8.6059,-1.2125
15Y5Y-4Y5Y,27.4,9.442,13.5361,1.3267
20Y5Y-4Y5Y,-65.6,-50.786,13.1452,-1.1269
30Y5Y-4Y5Y,-116.5,-118.328,4.5123,0.4051
7Y5Y-5Y5Y,6.2,10.583,3.9532,-1.1087
10Y5Y-5Y5Y,11.9,19.844,6.9557,-1.1421
15Y5Y-5Y5Y,24.9,4.451,12.8241,1.5946
20Y5Y-5Y5Y,-68.1,-55.777,11.3377,-1.0869
30Y5Y-5Y5Y,-119.0,-123.319,4.277,1.0098
10Y5Y-7Y5Y,5.7,9.261,3.5798,-0.9947
15Y5Y-7Y5Y,18.7,-6.132,12.6262,1.9667
20Y5Y-7Y5Y,-74.3,-66.36,8.0309,-0.9887
30Y5Y-7Y5Y,-125.2,-133.902,5.0178,1.7342
15Y5Y-10Y5Y,13.0,-15.393,13.3901,2.1204
20Y5Y-10Y5Y,-80.0,-75.621,5.8678,-0.7463
30Y5Y-10Y5Y,-130.9,-143.163,6.6839,1.8347
20Y5Y-15Y5Y,-93.0,-60.228,13.7114,-2.3901
30Y5Y-15Y5Y,-143.9,-127.77,11.4824,-1.4048
30Y5Y-20Y5Y,-50.9,-67.542,11.1023,1.499
1M5Y-3M5Y-6M5Y,4.4,3.972,0.9453,0.4528
1M5Y-3M5Y-1Y5Y,27.1,22.578,4.3715,1.0344
1M5Y-3M5Y-2Y5Y,49.7,34.789,11.8434,1.259
1M5Y-3M5Y-3Y5Y,57.6,34.599,16.3698,1.4051
